index,sign,astrology_sign,importance
735,pisces,pisces,no importance
736,libra and it's fun to think about,libra,fun
737,Unknown,Unknown,Unknown
738,scorpio,scorpio,no importance
739,libra and it's fun to think about,libra,fun
740,taurus and it's fun to think about,taurus,fun
741,gemini and it's fun to think about,gemini,fun
742,scorpio and it's fun to think about,scorpio,fun
743,libra but it doesn't matter,libra,no importance
744,gemini,gemini,no importance
745,sagittarius but it doesn't matter,sagittarius,no importance
746,aries and it's fun to think about,aries,fun
747,Unknown,Unknown,Unknown
748,virgo but it doesn't matter,virgo,no importance
749,aquarius and it's fun to think about,aquarius,fun
750,capricorn but it doesn't matter,capricorn,no importance
751,scorpio but it doesn't matter,scorpio,no importance
752,gemini,gemini,no importance
753,gemini and it's fun to think about,gemini,fun
754,leo and it's fun to think about,leo,fun
755,gemini,gemini,no importance
756,aquarius and it's fun to think about,aquarius,fun
757,taurus and it's fun to think about,taurus,fun
758,Unknown,Unknown,Unknown
759,gemini and it's fun to think about,gemini,fun
760,taurus,taurus,no importance
761,Unknown,Unknown,Unknown
762,Unknown,Unknown,Unknown
763,Unknown,Unknown,Unknown
764,taurus but it doesn't matter,taurus,no importance
765,pisces and it's fun to think about,pisces,fun
766,sagittarius and it's fun to think about,sagittarius,fun
767,Unknown,Unknown,Unknown
768,Unknown,Unknown,Unknown
769,scorpio,scorpio,no importance
770,Unknown,Unknown,Unknown
771,libra and it's fun to think about,libra,fun
772,cancer and it's fun to think about,cancer,fun
773,sagittarius and it's fun to think about,sagittarius,fun
774,leo but it doesn't matter,leo,no importance
775,leo and it's fun to think about,leo,fun
776,aries but it doesn't matter,aries,no importance
777,aries and it's fun to think about,aries,fun
778,capricorn but it doesn't matter,capricorn,no importance
779,taurus but it doesn't matter,taurus,no importance
780,capricorn but it doesn't matter,capricorn,no importance
781,leo but it doesn't matter,leo,no importance
782,libra,libra,no importance
783,cancer,cancer,no importance
784,taurus,taurus,no importance
785,cancer but it doesn't matter,cancer,no importance
786,aries and it's fun to think about,aries,fun
787,leo and it's fun to think about,leo,fun
788,capricorn and it's fun to think about,capricorn,fun
789,aries,aries,no importance
790,gemini,gemini,no importance
791,aquarius but it doesn't matter,aquarius,no importance
792,leo and it's fun to think about,leo,fun
793,aquarius but it doesn't matter,aquarius,no importance
794,libra,libra,no importance
795,virgo,virgo,no importance
796,pisces but it doesn't matter,pisces,no importance
797,libra,libra,no importance
798,aries but it doesn't matter,aries,no importance
799,virgo but it doesn't matter,virgo,no importance
800,aquarius but it doesn't matter,aquarius,no importance
801,leo but it doesn't matter,leo,no importance
802,sagittarius and it's fun to think about,sagittarius,fun
803,Unknown,Unknown,Unknown
804,virgo but it doesn't matter,virgo,no importance
805,Unknown,Unknown,Unknown
806,taurus,taurus,no importance
807,cancer but it doesn't matter,cancer,no importance
808,taurus and it's fun to think about,taurus,fun
809,Unknown,Unknown,Unknown
810,virgo and it's fun to think about,virgo,fun
811,aries and it's fun to think about,aries,fun
812,Unknown,Unknown,Unknown
813,pisces,pisces,no importance
814,Unknown,Unknown,Unknown
815,Unknown,Unknown,Unknown
816,gemini and it's fun to think about,gemini,fun
817,sagittarius and it's fun to think about,sagittarius,fun
818,Unknown,Unknown,Unknown
819,leo and it's fun to think about,leo,fun
820,cancer,cancer,no importance
821,pisces and it's fun to think about,pisces,fun
822,scorpio and it's fun to think about,scorpio,fun
823,cancer but it doesn't matter,cancer,no importance
824,scorpio,scorpio,no importance
825,Unknown,Unknown,Unknown
826,sagittarius and it's fun to think about,sagittarius,fun
827,Unknown,Unknown,Unknown
828,leo but it doesn't matter,leo,no importance
829,capricorn but it doesn't matter,capricorn,no importance
830,Unknown,Unknown,Unknown
831,scorpio and it's fun to think about,scorpio,fun
832,pisces,pisces,no importance
833,sagittarius but it doesn't matter,sagittarius,no importance
834,libra and it's fun to think about,libra,fun
835,sagittarius but it doesn't matter,sagittarius,no importance
836,capricorn but it doesn't matter,capricorn,no importance
837,Unknown,Unknown,Unknown
838,capricorn and it's fun to think about,capricorn,fun
839,cancer but it doesn't matter,cancer,no importance
840,virgo but it doesn't matter,virgo,no importance
841,taurus and it's fun to think about,taurus,fun
842,pisces,pisces,no importance
843,taurus,taurus,no importance
844,taurus,taurus,no importance
845,cancer,cancer,no importance
846,virgo and it's fun to think about,virgo,fun
847,aquarius but it doesn't matter,aquarius,no importance
848,aries,aries,no importance
849,aquarius,aquarius,no importance
850,taurus and it's fun to think about,taurus,fun
851,scorpio but it doesn't matter,scorpio,no importance
852,Unknown,Unknown,Unknown
853,virgo but it doesn't matter,virgo,no importance
854,leo,leo,no importance
855,taurus and it's fun to think about,taurus,fun
856,scorpio,scorpio,no importance
857,aquarius and it's fun to think about,aquarius,fun
858,virgo and it's fun to think about,virgo,fun
859,Unknown,Unknown,Unknown
860,libra and it's fun to think about,libra,fun
861,Unknown,Unknown,Unknown
862,cancer,cancer,no importance
863,Unknown,Unknown,Unknown
864,gemini and it's fun to think about,gemini,fun
865,Unknown,Unknown,Unknown
866,virgo but it doesn't matter,virgo,no importance
867,scorpio but it doesn't matter,scorpio,no importance
868,virgo,virgo,no importance
869,virgo but it doesn't matter,virgo,no importance
870,capricorn,capricorn,no importance
871,Unknown,Unknown,Unknown
872,aquarius and it's fun to think about,aquarius,fun
873,Unknown,Unknown,Unknown
874,taurus,taurus,no importance
875,aries and it's fun to think about,aries,fun
876,capricorn and it's fun to think about,capricorn,fun
877,pisces and it's fun to think about,pisces,fun
878,Unknown,Unknown,Unknown
879,aquarius but it doesn't matter,aquarius,no importance
880,libra,libra,no importance
881,capricorn but it doesn't matter,capricorn,no importance
882,scorpio,scorpio,no importance
883,Unknown,Unknown,Unknown
884,scorpio but it doesn't matter,scorpio,no importance
885,aquarius but it doesn't matter,aquarius,no importance
886,Unknown,Unknown,Unknown
887,pisces,pisces,no importance
888,cancer but it doesn't matter,cancer,no importance
889,Unknown,Unknown,Unknown
890,aquarius,aquarius,no importance
891,libra,libra,no importance
892,virgo but it doesn't matter,virgo,no importance
893,cancer and it's fun to think about,cancer,fun
894,gemini and it's fun to think about,gemini,fun
895,sagittarius but it doesn't matter,sagittarius,no importance
896,Unknown,Unknown,Unknown
897,leo and it's fun to think about,leo,fun
898,leo,leo,no importance
899,Unknown,Unknown,Unknown
900,taurus and it's fun to think about,taurus,fun
901,libra and it's fun to think about,libra,fun
902,taurus and it's fun to think about,taurus,fun
903,taurus and it's fun to think about,taurus,fun
904,Unknown,Unknown,Unknown
905,scorpio but it doesn't matter,scorpio,no importance
906,taurus,taurus,no importance
907,gemini but it doesn't matter,gemini,no importance
908,Unknown,Unknown,Unknown
909,aries and it's fun to think about,aries,fun
910,scorpio and it's fun to think about,scorpio,fun
911,Unknown,Unknown,Unknown
912,taurus,taurus,no importance
913,gemini but it doesn't matter,gemini,no importance
914,sagittarius and it's fun to think about,sagittarius,fun
915,taurus and it's fun to think about,taurus,fun
916,aquarius and it's fun to think about,aquarius,fun
917,taurus but it doesn't matter,taurus,no importance
918,leo and it's fun to think about,leo,fun
919,leo but it doesn't matter,leo,no importance
920,sagittarius but it doesn't matter,sagittarius,no importance
921,cancer and it's fun to think about,cancer,fun
922,leo but it doesn't matter,leo,no importance
923,pisces and it's fun to think about,pisces,fun
924,taurus and it's fun to think about,taurus,fun
925,capricorn,capricorn,no importance
926,capricorn and it's fun to think about,capricorn,fun
927,aries but it doesn't matter,aries,no importance
928,Unknown,Unknown,Unknown
929,cancer and it's fun to think about,cancer,fun
930,Unknown,Unknown,Unknown
931,aries but it doesn't matter,aries,no importance
932,Unknown,Unknown,Unknown
933,pisces,pisces,no importance
934,gemini but it doesn't matter,gemini,no importance
935,gemini but it doesn't matter,gemini,no importance
936,aries but it doesn't matter,aries,no importance
937,gemini but it doesn't matter,gemini,no importance
938,Unknown,Unknown,Unknown
939,libra,libra,no importance
940,Unknown,Unknown,Unknown
941,pisces,pisces,no importance
942,sagittarius and it's fun to think about,sagittarius,fun
943,taurus and it's fun to think about,taurus,fun
944,capricorn and it's fun to think about,capricorn,fun
945,Unknown,Unknown,Unknown
946,gemini and it's fun to think about,gemini,fun
947,Unknown,Unknown,Unknown
948,sagittarius,sagittarius,no importance
949,scorpio and it's fun to think about,scorpio,fun
950,taurus but it doesn't matter,taurus,no importance
951,leo but it doesn't matter,leo,no importance
952,leo but it doesn't matter,leo,no importance
953,virgo,virgo,no importance
954,Unknown,Unknown,Unknown
955,libra,libra,no importance
956,Unknown,Unknown,Unknown
957,sagittarius,sagittarius,no importance
958,cancer but it doesn't matter,cancer,no importance
959,capricorn and it's fun to think about,capricorn,fun
960,aries and it's fun to think about,aries,fun
961,Unknown,Unknown,Unknown
962,scorpio,scorpio,no importance
963,Unknown,Unknown,Unknown
964,cancer but it doesn't matter,cancer,no importance
965,Unknown,Unknown,Unknown
966,sagittarius but it doesn't matter,sagittarius,no importance
967,pisces and it's fun to think about,pisces,fun
968,Unknown,Unknown,Unknown
969,aries but it doesn't matter,aries,no importance
970,aries but it doesn't matter,aries,no importance
971,cancer but it doesn't matter,cancer,no importance
972,aries,aries,no importance
973,leo and it's fun to think about,leo,fun
974,leo but it doesn't matter,leo,no importance
975,leo,leo,no importance
976,cancer,cancer,no importance
977,scorpio and it's fun to think about,scorpio,fun
978,Unknown,Unknown,Unknown
979,Unknown,Unknown,Unknown
980,sagittarius but it doesn't matter,sagittarius,no importance
981,virgo and it's fun to think about,virgo,fun
982,virgo,virgo,no importance
983,aries,aries,no importance
984,aries and it's fun to think about,aries,fun
985,cancer,cancer,no importance
986,taurus,taurus,no importance
987,gemini but it doesn't matter,gemini,no importance
988,leo and it's fun to think about,leo,fun
989,libra but it doesn't matter,libra,no importance
990,taurus and it's fun to think about,taurus,fun
991,sagittarius but it doesn't matter,sagittarius,no importance
992,aries but it doesn't matter,aries,no importance
993,cancer,cancer,no importance
994,sagittarius,sagittarius,no importance
995,pisces but it doesn't matter,pisces,no importance
996,libra but it doesn't matter,libra,no importance
997,leo,leo,no importance
998,taurus and it's fun to think about,taurus,fun
999,cancer and it's fun to think about,cancer,fun
1000,Unknown,Unknown,Unknown
1001,virgo but it doesn't matter,virgo,no importance
1002,aries and it's fun to think about,aries,fun
1003,aquarius but it doesn't matter,aquarius,no importance
1004,aquarius and it's fun to think about,aquarius,fun
1005,capricorn and it's fun to think about,capricorn,fun
1006,capricorn but it doesn't matter,capricorn,no importance
1007,leo but it doesn't matter,leo,no importance
1008,gemini but it doesn't matter,gemini,no importance
1009,libra and it's fun to think about,libra,fun
1010,Unknown,Unknown,Unknown
1011,aquarius and it's fun to think about,aquarius,fun
1012,scorpio and it's fun to think about,scorpio,fun
1013,virgo and it's fun to think about,virgo,fun
1014,taurus,taurus,no importance
1015,gemini,gemini,no importance
1016,sagittarius but it doesn't matter,sagittarius,no importance
1017,sagittarius but it doesn't matter,sagittarius,no importance
1018,taurus,taurus,no importance
1019,taurus and it's fun to think about,taurus,fun
1020,aquarius and it's fun to think about,aquarius,fun
1021,aries and it's fun to think about,aries,fun
1022,Unknown,Unknown,Unknown
1023,Unknown,Unknown,Unknown
1024,Unknown,Unknown,Unknown
1025,virgo but it doesn't matter,virgo,no importance
1026,Unknown,Unknown,Unknown
1027,libra and it's fun to think about,libra,fun
1028,virgo and it's fun to think about,virgo,fun
1029,Unknown,Unknown,Unknown
1030,Unknown,Unknown,Unknown
1031,virgo and it's fun to think about,virgo,fun
1032,aquarius,aquarius,no importance
1033,sagittarius but it doesn't matter,sagittarius,no importance
1034,cancer but it doesn't matter,cancer,no importance
1035,Unknown,Unknown,Unknown
1036,capricorn and it matters a lot,capricorn,importance
1037,pisces but it doesn't matter,pisces,no importance
1038,leo,leo,no importance
1039,capricorn,capricorn,no importance
1040,gemini,gemini,no importance
