index,pets,dogs,cats
924,no importance,no importance,no importance
925,no importance,no importance,no importance
926,no importance,no importance,no importance
927,likes dogs and dislikes cats,like,like
928,no importance,no importance,no importance
929,no importance,no importance,no importance
930,no importance,no importance,no importance
931,likes dogs and likes cats,like,like
932,likes dogs and likes cats,like,like
933,likes dogs and likes cats,like,like
934,has cats,no importance,own
935,likes dogs and likes cats,like,like
936,likes dogs and likes cats,like,like
937,likes dogs and likes cats,like,like
938,has dogs,own,no importance
939,no importance,no importance,no importance
940,no importance,no importance,no importance
941,no importance,no importance,no importance
942,likes dogs and likes cats,like,like
943,likes dogs and likes cats,like,like
944,no importance,no importance,no importance
945,likes dogs and likes cats,like,like
946,no importance,no importance,no importance
947,likes dogs and has cats,like,own
948,likes dogs and likes cats,like,like
949,no importance,no importance,no importance
950,likes dogs and likes cats,like,like
951,likes cats,no importance,like
952,has dogs,own,no importance
953,has dogs and has cats,own,own
954,no importance,no importance,no importance
955,no importance,no importance,no importance
956,likes dogs and likes cats,like,like
957,likes dogs and likes cats,like,like
958,likes dogs and likes cats,like,like
959,has dogs and has cats,own,own
960,no importance,no importance,no importance
961,likes dogs and likes cats,like,like
962,no importance,no importance,no importance
963,no importance,no importance,no importance
964,no importance,no importance,no importance
965,no importance,no importance,no importance
966,no importance,no importance,no importance
967,has dogs and has cats,own,own
968,has dogs,own,no importance
969,likes dogs and has cats,like,own
970,no importance,no importance,no importance
971,likes dogs and dislikes cats,like,like
972,no importance,no importance,no importance
973,likes dogs,like,no importance
974,has dogs,own,no importance
975,no importance,no importance,no importance
976,no importance,no importance,no importance
977,likes dogs and likes cats,like,like
978,no importance,no importance,no importance
979,no importance,no importance,no importance
980,likes dogs and has cats,like,own
981,has dogs and likes cats,own,like
982,no importance,no importance,no importance
983,has dogs,own,no importance
984,likes dogs and has cats,like,own
985,likes dogs,like,no importance
986,likes dogs and likes cats,like,like
987,likes dogs and has cats,like,own
988,no importance,no importance,no importance
989,likes dogs and likes cats,like,like
990,has dogs and likes cats,own,like
991,has dogs and likes cats,own,like
992,has dogs,own,no importance
993,no importance,no importance,no importance
994,has dogs and dislikes cats,own,like
995,has dogs,own,no importance
996,likes dogs and likes cats,like,like
997,likes dogs and likes cats,like,like
998,has dogs,own,no importance
999,likes dogs and dislikes cats,like,like
1000,no importance,no importance,no importance
1001,likes dogs and likes cats,like,like
1002,no importance,no importance,no importance
1003,likes dogs and likes cats,like,like
1004,has dogs and likes cats,own,like
1005,likes dogs and likes cats,like,like
1006,dislikes dogs and likes cats,like,like
1007,no importance,no importance,no importance
1008,likes dogs and likes cats,like,like
1009,likes dogs and has cats,like,own
1010,likes dogs,like,no importance
1011,likes dogs and likes cats,like,like
1012,likes dogs,like,no importance
1013,likes dogs and likes cats,like,like
1014,likes dogs and likes cats,like,like
1015,likes dogs and likes cats,like,like
1016,no importance,no importance,no importance
1017,likes dogs,like,no importance
1018,no importance,no importance,no importance
1019,likes dogs and likes cats,like,like
1020,has dogs,own,no importance
1021,likes dogs,like,no importance
1022,no importance,no importance,no importance
1023,has cats,no importance,own
1024,has cats,no importance,own
1025,likes dogs and likes cats,like,like
1026,likes dogs,like,no importance
1027,likes dogs,like,no importance
1028,likes dogs and likes cats,like,like
1029,no importance,no importance,no importance
1030,no importance,no importance,no importance
1031,likes dogs and likes cats,like,like
1032,no importance,no importance,no importance
1033,has cats,no importance,own
1034,has dogs,own,no importance
1035,no importance,no importance,no importance
1036,has dogs and has cats,own,own
1037,no importance,no importance,no importance
1038,has dogs and likes cats,own,like
1039,no importance,no importance,no importance
1040,no importance,no importance,no importance
1041,no importance,no importance,no importance
1042,likes dogs and likes cats,like,like
1043,has dogs,own,no importance
1044,no importance,no importance,no importance
1045,likes dogs and likes cats,like,like
1046,likes dogs and likes cats,like,like
1047,likes dogs and likes cats,like,like
1048,likes dogs,like,no importance
1049,likes dogs and likes cats,like,like
1050,likes dogs and has cats,like,own
1051,no importance,no importance,no importance
1052,likes dogs,like,no importance
1053,likes dogs and likes cats,like,like
1054,likes dogs and likes cats,like,like
1055,no importance,no importance,no importance
1056,likes dogs and likes cats,like,like
1057,has dogs and has cats,own,own
1058,has dogs and likes cats,own,like
1059,likes cats,no importance,like
1060,likes dogs and likes cats,like,like
1061,likes dogs and likes cats,like,like
1062,no importance,no importance,no importance
1063,likes dogs and likes cats,like,like
1064,no importance,no importance,no importance
1065,no importance,no importance,no importance
1066,no importance,no importance,no importance
1067,likes dogs and likes cats,like,like
1068,has dogs,own,no importance
1069,has dogs,own,no importance
1070,has dogs,own,no importance
1071,no importance,no importance,no importance
1072,no importance,no importance,no importance
1073,likes dogs and likes cats,like,like
1074,has cats,no importance,own
1075,likes dogs and likes cats,like,like
1076,has cats,no importance,own
1077,no importance,no importance,no importance
1078,no importance,no importance,no importance
1079,likes dogs,like,no importance
1080,likes dogs and likes cats,like,like
1081,has dogs,own,no importance
1082,has dogs and dislikes cats,own,like
1083,no importance,no importance,no importance
1084,likes dogs and has cats,like,own
1085,likes dogs and dislikes cats,like,like
1086,has dogs and likes cats,own,like
1087,likes dogs and likes cats,like,like
1088,no importance,no importance,no importance
1089,no importance,no importance,no importance
1090,likes dogs,like,no importance
1091,no importance,no importance,no importance
1092,no importance,no importance,no importance
1093,likes cats,no importance,like
1094,has cats,no importance,own
1095,likes dogs and likes cats,like,like
1096,likes dogs and dislikes cats,like,like
1097,no importance,no importance,no importance
1098,likes dogs and has cats,like,own
1099,no importance,no importance,no importance
1100,has dogs and likes cats,own,like
1101,no importance,no importance,no importance
1102,has dogs,own,no importance
1103,likes dogs,like,no importance
1104,no importance,no importance,no importance
1105,no importance,no importance,no importance
1106,likes dogs and likes cats,like,like
1107,likes dogs and likes cats,like,like
1108,has dogs,own,no importance
1109,has dogs and likes cats,own,like
1110,likes dogs and likes cats,like,like
1111,has dogs and dislikes cats,own,like
1112,no importance,no importance,no importance
1113,likes dogs and likes cats,like,like
1114,no importance,no importance,no importance
1115,no importance,no importance,no importance
1116,likes dogs,like,no importance
1117,no importance,no importance,no importance
1118,no importance,no importance,no importance
1119,likes dogs and likes cats,like,like
1120,no importance,no importance,no importance
1121,likes dogs and likes cats,like,like
1122,likes dogs and likes cats,like,like
1123,no importance,no importance,no importance
1124,no importance,no importance,no importance
1125,likes dogs and likes cats,like,like
1126,has dogs,own,no importance
1127,likes dogs and has cats,like,own
1128,likes dogs and dislikes cats,like,like
