index,speaks,fluent,good
864,english (fluently),english,
865,english (fluently),english,
866,"english (fluently), c++ (okay), french (okay), lisp (fluently)","english, lisp","c++, french"
867,english (fluently),english,
868,english (fluently),english,
869,english (fluently),english,
870,"english (fluently), turkish (fluently), italian (okay)","english, turkish",italian
871,"english (fluently), spanish (fluently)","english, spanish",
872,english (fluently),english,
873,"english (fluently), polish (fluently)","english, polish",
874,"english (fluently), french (fluently), german (okay)","english, french",german
875,english (fluently),english,
876,english (fluently),english,
877,"english (fluently), spanish (okay)",english,spanish
878,english (fluently),english,
879,english (fluently),english,
880,english (okay),english,english
881,"english (fluently), vietnamese (fluently)","english, vietnamese",
882,"english (fluently), french (okay), spanish (okay)",english,"french, spanish"
883,english (fluently),english,
884,,english,
885,english (fluently),english,
886,"english (fluently), spanish (okay)",english,spanish
887,english (fluently),english,
888,english (fluently),english,
889,"english (fluently), spanish (fluently)","english, spanish",
890,"english (fluently), sign language (okay)",english,sign language
891,english (fluently),english,
892,,english,
893,english (fluently),english,
894,english (fluently),english,
895,english (fluently),english,
896,english (fluently),english,
897,english (fluently),english,
898,english (fluently),english,
899,english (fluently),english,
900,english (fluently),english,
901,"english (fluently), spanish (fluently), german (okay), portuguese (okay)","english, spanish","german, portuguese"
902,english (fluently),english,
903,english (fluently),english,
904,"english (fluently), spanish, german, french, serbian",english,"spanish, german, french, serbian"
905,"english (fluently), french (okay)",english,french
906,english (fluently),english,
907,english (fluently),english,
908,english (fluently),english,
909,"english (fluently), spanish (fluently), french (okay)","english, spanish",french
910,english (fluently),english,
911,english (fluently),english,
912,english (fluently),english,
913,english (fluently),english,
914,english (fluently),english,
915,english (fluently),english,
916,"english (fluently), french (okay)",english,french
917,"english (fluently), thai",english,thai
918,english (fluently),english,
919,"english (fluently), spanish (okay)",english,spanish
920,english (fluently),english,
921,english (fluently),english,
922,"english (fluently), spanish (fluently)","english, spanish",
923,english (fluently),english,
924,"english (fluently), italian (okay)",english,italian
925,english (fluently),english,
926,"english (fluently), other (okay), other (fluently)",english,
927,english (fluently),english,
928,english (fluently),english,
929,"english (fluently), tamil (okay)",english,tamil
930,english (fluently),english,
931,english (fluently),english,
932,english (fluently),english,
933,english (fluently),english,
934,"english (fluently), c++ (fluently), lisp (okay)","english, c++",lisp
935,english (fluently),english,
936,"english (fluently), chinese (fluently)","english, chinese",
937,english (fluently),english,
938,english (fluently),english,
939,english (fluently),english,
940,"english (fluently), chinese",english,chinese
941,"english (fluently), french (okay)",english,french
942,"english (fluently), german (okay)",english,german
943,"english (fluently), german (okay)",english,german
944,"english (fluently), hindi (okay), other (fluently), other (okay), other (okay)",english,hindi
945,english (fluently),english,
946,"english (fluently), hindi, japanese, c++",english,"hindi, japanese, c++"
947,english (fluently),english,
948,"english (fluently), korean (okay)",english,korean
949,english (fluently),english,
950,,english,
951,english (fluently),english,
952,english (fluently),english,
953,english (fluently),english,
954,english (fluently),english,
955,"english (fluently), spanish (okay)",english,spanish
956,,english,
957,english (fluently),english,
958,"english (fluently), latin (okay), lisp (okay)",english,"latin, lisp"
959,"english (fluently), spanish (okay), french (okay)",english,"spanish, french"
960,"english (fluently), chinese, german",english,"chinese, german"
961,"english (fluently), spanish (okay)",english,spanish
962,english (fluently),english,
963,english (fluently),english,
964,english (fluently),english,
965,english (fluently),english,
966,english (fluently),english,
967,english (fluently),english,
968,english (fluently),english,
969,"english (fluently), german (okay)",english,german
970,english (fluently),english,
971,english (fluently),english,
972,english (fluently),english,
973,"english (fluently), indonesian (okay), tagalog (fluently), spanish (okay)","english, tagalog","indonesian, spanish"
974,"english (fluently), c++ (fluently)","english, c++",
975,"english (fluently), spanish (okay)",english,spanish
976,english (fluently),english,
977,"english (fluently), french (fluently)","english, french",
978,english (fluently),english,
979,english (fluently),english,
980,english (fluently),english,
981,english (fluently),english,
982,english (fluently),english,
983,english (fluently),english,
984,english (fluently),english,
985,english (fluently),english,
986,english (fluently),english,
987,"english (fluently), spanish (fluently), french (okay)","english, spanish",french
988,"english (fluently), spanish (okay)",english,spanish
989,"english (fluently), spanish (okay)",english,spanish
990,english (fluently),english,
991,"english (fluently), spanish (okay)",english,spanish
992,english (fluently),english,
993,english (fluently),english,
994,"english (fluently), spanish (okay)",english,spanish
995,english (fluently),english,
996,"english (fluently), c++ (fluently)","english, c++",
997,english (fluently),english,
998,english (fluently),english,
999,"english (fluently), spanish (okay)",english,spanish
1000,english (fluently),english,
1001,english (fluently),english,
1002,english (fluently),english,
1003,english (fluently),english,
1004,"english (fluently), spanish (okay)",english,spanish
1005,english (fluently),english,
1006,english (fluently),english,
1007,"english (fluently), spanish (okay)",english,spanish
1008,"english (fluently), spanish (okay)",english,spanish
1009,english (fluently),english,
1010,english (fluently),english,
1011,english (fluently),english,
1012,english (fluently),english,
1013,"english (fluently), spanish (okay)",english,spanish
1014,"english (fluently), lisp",english,lisp
1015,"english (fluently), spanish (okay)",english,spanish
1016,english (fluently),english,
1017,english (fluently),english,
1018,english (fluently),english,
1019,english (fluently),english,
1020,"english (fluently), spanish (fluently)","english, spanish",
1021,english (fluently),english,
1022,"english (fluently), russian (fluently), german (fluently), bulgarian (fluently)","english, russian, german, bulgarian",
1023,english (fluently),english,
1024,english (fluently),english,
1025,"english (fluently), c++ (fluently)","english, c++",
