index,religion,religion_name,seriousness
705,rather not disclose,rather not disclose,no importance
706,rather not disclose,rather not disclose,no importance
707,judaism and somewhat serious about it,judaism,somewhat serious
708,buddhism but not too serious about it,buddhism,not too serious
709,catholicism but not too serious about it,catholicism,not too serious
710,rather not disclose,rather not disclose,no importance
711,catholicism and somewhat serious about it,catholicism,somewhat serious
712,rather not disclose,rather not disclose,no importance
713,atheism and laughing about it,atheism,laughing
714,rather not disclose,rather not disclose,no importance
715,other,other,no importance
716,christianity,christianity,no importance
717,christianity,christianity,no importance
718,rather not disclose,rather not disclose,no importance
719,agnosticism,agnosticism,no importance
720,rather not disclose,rather not disclose,no importance
721,rather not disclose,rather not disclose,no importance
722,catholicism and laughing about it,catholicism,laughing
723,buddhism,buddhism,no importance
724,buddhism but not too serious about it,buddhism,not too serious
725,rather not disclose,rather not disclose,no importance
726,other but not too serious about it,other,no importance
727,agnosticism and laughing about it,agnosticism,laughing
728,rather not disclose,rather not disclose,no importance
729,rather not disclose,rather not disclose,no importance
730,catholicism,catholicism,no importance
731,agnosticism and laughing about it,agnosticism,laughing
732,catholicism but not too serious about it,catholicism,not too serious
733,rather not disclose,rather not disclose,no importance
734,christianity but not too serious about it,christianity,not too serious
735,rather not disclose,rather not disclose,no importance
736,other and laughing about it,other,no importance
737,atheism,atheism,no importance
738,other,other,no importance
739,catholicism,catholicism,no importance
740,christianity but not too serious about it,christianity,not too serious
741,agnosticism and somewhat serious about it,agnosticism,somewhat serious
742,agnosticism but not too serious about it,agnosticism,not too serious
743,atheism and laughing about it,atheism,laughing
744,catholicism and very serious about it,catholicism,very serious
745,agnosticism but not too serious about it,agnosticism,not too serious
746,agnosticism and somewhat serious about it,agnosticism,somewhat serious
747,christianity,christianity,no importance
748,atheism and laughing about it,atheism,laughing
749,christianity but not too serious about it,christianity,not too serious
750,other and somewhat serious about it,other,no importance
751,rather not disclose,rather not disclose,no importance
752,rather not disclose,rather not disclose,no importance
753,christianity and somewhat serious about it,christianity,somewhat serious
754,christianity and somewhat serious about it,christianity,somewhat serious
755,other and very serious about it,other,no importance
756,agnosticism but not too serious about it,agnosticism,not too serious
757,christianity but not too serious about it,christianity,not too serious
758,agnosticism,agnosticism,no importance
759,rather not disclose,rather not disclose,no importance
760,rather not disclose,rather not disclose,no importance
761,rather not disclose,rather not disclose,no importance
762,christianity but not too serious about it,christianity,not too serious
763,christianity but not too serious about it,christianity,not too serious
764,atheism,atheism,no importance
765,other and laughing about it,other,no importance
766,atheism and laughing about it,atheism,laughing
767,catholicism and laughing about it,catholicism,laughing
768,agnosticism but not too serious about it,agnosticism,not too serious
769,rather not disclose,rather not disclose,no importance
770,rather not disclose,rather not disclose,no importance
771,rather not disclose,rather not disclose,no importance
772,other and laughing about it,other,no importance
773,agnosticism and laughing about it,agnosticism,laughing
774,judaism but not too serious about it,judaism,not too serious
775,atheism and very serious about it,atheism,very serious
776,judaism and laughing about it,judaism,laughing
777,agnosticism and laughing about it,agnosticism,laughing
778,catholicism but not too serious about it,catholicism,not too serious
779,atheism and somewhat serious about it,atheism,somewhat serious
780,rather not disclose,rather not disclose,no importance
781,agnosticism but not too serious about it,agnosticism,not too serious
782,catholicism,catholicism,no importance
783,catholicism,catholicism,no importance
784,catholicism,catholicism,no importance
785,other and somewhat serious about it,other,no importance
786,rather not disclose,rather not disclose,no importance
787,rather not disclose,rather not disclose,no importance
788,rather not disclose,rather not disclose,no importance
789,catholicism,catholicism,no importance
790,other,other,no importance
791,rather not disclose,rather not disclose,no importance
792,rather not disclose,rather not disclose,no importance
793,agnosticism and laughing about it,agnosticism,laughing
794,christianity and very serious about it,christianity,very serious
